제목,리뷰,평점
어벤져스: 엔드게임,졸업식이 끝난느낌비어가는 교실 보면서 쓸쓸하고 시원했고 짠하고 행복했음 ,10
어벤져스: 엔드게임,넘잼떠효ㅜㅜㅡ열번봐야디 ,10
어벤져스: 엔드게임,미쳤음. 이제 뭐봐야되나 하... ,10
어벤져스: 엔드게임,3시간  시간가는지 몰랐네 ,10
어벤져스: 엔드게임,역시 믿고보는 어벤져스.. ,10
어벤져스: 엔드게임,어벤져스1만큼 재밌었다 ,10
극한직업,ㅎㅎ 너무  웃겼어요 집에서 혼자봐도 이렇게 웃긴데 극장에서 여럿이 봤으면 더 웃었겠어요. ,10
어벤져스: 엔드게임,"보다가 네번 울었습니다. 멋짐, 재미, 감동 다 있어요 말로 설명 못할  벅찬 감정... ",10
어벤져스: 엔드게임,치즈버거가 땡기는 영화 ,10
어벤져스: 엔드게임,진짜 구라안치고 잠깐 심장이 멈췄었던것도 같음 ,10
어벤져스: 엔드게임,데이즈 오브 퓨쳐패스트 2 ,10
어벤져스: 엔드게임,군대가기전에 보고가서 천만다행 ,10
돈,배우들 연기력은 훌륭했지만 스토리가 애매하고 찝찝한 기분 ,6
어벤져스: 엔드게임,내 인생의 영화는 어벤져스:엔드게임 전과후로 나뉜다 ,10
어벤져스: 엔드게임,3시간은 너무 지루해여 ,8
어벤져스: 엔드게임,잘봤습니다. 즐거웠음 ,10
어벤져스: 엔드게임,어벤져스 앤드게임긴 시간동안 고대하며 기다린 만큼어벤져스 시리즈의 마지막이라서 그런지스토리와 액션장면까지 짜임새가 돋보이며죽었던 이들이 모두가 살아나서 마지막 대반격장면과각자 그리워했던 사람들과 해후하는 장면도뭉클하기까지 하더군요.^.~ ,10
어벤져스: 엔드게임,진짜 엔드게임이구나.... ,10
에이리언: 커버넌트,역대 에이리언 시리즈랑 분위기가 다름 ,10
어벤져스: 엔드게임,어벤져스의 마지막.. 너무. 아쉬워요 ㅠㅠ너무 재밌었고 더 이어졌으면 하는 바람만... ,10
어벤져스: 엔드게임,정말 마지막인가요ㅜㅠ ,10
어벤져스: 엔드게임,최고의영화입니다 꼭보세요 ,10
어벤져스: 엔드게임,보고 울꺽했음 감동과 재미 ㅠㅠ ,10
어벤져스: 엔드게임,미쳣다 미쳣어 그냥지림;; ,10
어벤져스: 엔드게임,이제 캐릭터 죽었다고 안본다고 협박할수도 없는... ,10
어벤져스: 엔드게임,이건 미쳤음 진짜 봐야하는 영화 ,10
서유기 2 - 선리기연,세월이 지나서 다시봐도 눈물나는 명작 ,10
어벤져스: 엔드게임,Avengers Assemble ,10
어벤져스: 엔드게임,한마디로 진짜 미쳣다. ,10
어벤져스: 엔드게임,나는 아이언맨이다!! ,10
어벤져스: 엔드게임,굿구우우우은으우읏웃 ,10
어벤져스: 엔드게임,조흔 결말이었습니다... ,10
어벤져스: 엔드게임,미쳤다 어느 한 장면이 소름이라고 콕 집어 말할 수 없을만큼 모든 장면이 소름이 돋았던 영화. ,10
어벤져스: 엔드게임,최고다 최고 어벤져스 최고 ,10
어벤져스: 엔드게임,쥐 한마리가 세상을 구한 영화 ,10
어벤져스: 엔드게임,지금까지의 마블영화는 모두 이 영화를 만들기 위한 거였나... 이영화에 얼마나 공을 들였는지 보인다 ! 3000만큼 사랑한다 ,10
마약왕,교훈 약빨지말자!!!! ,5
어벤져스: 엔드게임,갈무리를 완벽하게 했다. 히어로 영화 보고 울었따.. ,10
어벤져스: 엔드게임,앞에좀 자르고 뒤에좀 늘리지 ,9
어벤져스: 엔드게임,보기 전과 후 화장실을 꼭 가야되는 영화.. ,10
어벤져스: 엔드게임,최고의 마무리 .. 영화 잘 만들었다..최고 ,10
어벤져스: 엔드게임,와 진짜 내가 본 영화중 역대급이다 마블중이 아니고...3시간이 30분으러 컷당함...진심 너무 재밌음 ,10
어벤져스: 엔드게임,나는..나는..아이언맨이다... ,10
어벤져스: 엔드게임,마블 모두 히어로 모두 3000만큼 사랑합니다 ,10
요로나의 저주,코미디 요소도 좋긴 하지만 끝맺음도 그렇고 장난 하니 ,7
유랑지구,나도 전랑2 이딴건 존내 욕하면서 봤는데...이거는 냉정히 말해 잘 만들긴 했더라. 8점 ,8
어벤져스: 엔드게임,2% 아쉬운 빅재미였음. 한번 더 보러 갈꺼임. ,8
어벤져스: 엔드게임,어벤져스를 연기한 모든 배우들에게 존경과 박수를!!! ,10
어벤져스: 엔드게임,벅차올라서 울고 또 움 진심 인생 시리즈 영화 ,10
어벤져스: 엔드게임,이제 지구는 누가  지켜주나요? ,10
어벤져스: 엔드게임,너무 재밌었습니다 ㅎㅎㅎ ,10
어벤져스: 엔드게임,그냥 보고나서 딱 한마디가 머리속에 맴돈다good bye my hero20살때부터 내 로망이자 영웅이었던 ,10
어벤져스: 엔드게임,울컥했습니다 진짜 3시간이 1시간처럼느껴짐심장이 멈추질않습니다 ,10
어벤져스: 엔드게임,완벽한 끝맺음...최고 ,10
어벤져스: 엔드게임,좋아요.아이하고 재미있게봤어요 ,10
어벤져스: 엔드게임,4Dx가 진리임 마치. 놀이동산에서 열차 타는듯한 ,10
어벤져스: 엔드게임,2프로 부족한느낌 스타크가 한번에 타임머신이 가능하다고 말한거도 개연성이 부족하지않았나.. ,9
어벤져스: 엔드게임,3000만큼 사랑해 영원한 우리의 아이언맨 로다주 ,10
어벤져스: 엔드게임,진심 미쳤다 생애 최고의 영화 ,10
어벤져스: 엔드게임,꿀잼!!!! 너무너무 꿀잼이에요 ,10
어벤져스: 엔드게임,어벤져스 엔드게임 짱이에요~~~ ,10
크게 될 놈,이거 핵감덩쓰 ㅠㅠ 눈팅팅부엇노 ,10
어벤져스: 엔드게임,진짜 역대급 마블 영화였음. 역시 마블영화는 아이언맨으로 열고 아이언맨으로 닫네요. 뉴 어벤져스 기다릴게요. ,10
어벤져스: 엔드게임,마블!!! 3000만큼 사랑해요!!! ,10
어벤져스: 엔드게임,재밋어요ㅠㅠㅠㅠ 또 보고싶네요ㅠㅠㅠ!! ,10
돈,전혀 지루한 틈이 없었고 집중이 잘됐었어요 그 만큼 빈틈이 없는 영화였습니다. ,10
어벤져스: 엔드게임,어벤져스 여러분들 정말  수고하셨고 재미와 감동주셔서 정말 감사합니다 사랑합니다~~~~!!!! ,10
어벤져스: 엔드게임,오늘 조조로 봤고 주말꺼 예매했고 앞으로 세번은 더볼거다 ,10
어벤져스: 엔드게임,아이언맨 격하게 사랑합니다. 고마워요. 당신 없었으면 시작도 안됐을 11년... ,10
어벤져스: 엔드게임,10주년을 장식하는 마지막 피날레~ ,10
어벤져스: 엔드게임,정말 나의 추억들과 완벽한 마무리 ,10
어벤져스: 엔드게임,시험공부를 포기하고 보러온 어벤져스는 .... 제 인생에서 어벤져스 엔드게임을 개봉 1일차에 X Screen 으로 볼 수 잇어서 좋았습니다 ,10
어벤져스: 엔드게임,앞으로도 마블은 루소형제랑 작업 같이 했으면 좋겠다 ,10
어벤져스: 엔드게임,다좋은데 다음 마블 영화가 나오면 이때까지 마블 영화를 봤을때 그감동을 느낄수있을까.. ,10
어벤져스: 엔드게임,난 왜 먼가 아쉽다고 느껴질까 ㅠ ,8
돈,나쁘진 않았는데 포스터는 굳이 창의력없이 울프오브 월 스트리트 표절했어야 했나? 뒤늦게 말 나오니까 포스터 변경한 건 코미디. 그래도 내용은 달랐으니까 후하게 6점줌 킬링타임용은 되니까. 현실성이 너무 없지만 오락용으로 즐기기엔 괜찮다. ,6
호스틸,이거 1점 준 놈 누구냐....감성이 메말랐냐... ,10
어벤져스: 엔드게임,아 진짜 여운 미침 하ㅜㅜㅜ 엔드게임 안본사람 없게 해주세요 엉엉ㅇ ,10
어벤져스: 엔드게임,말할 필요도 없는 최고영화 였습니다 ,10
어벤져스: 엔드게임,아이언맨 죽을때 슬퍼요 ㅠㅠ ,8
어벤져스: 엔드게임,그냥 휴지 많이 챙기시면 될 것 같아요 ,10
어벤져스: 엔드게임,10 10 10 10 10 ,10
어벤져스: 엔드게임,별 3천개 때려박아야 하는데 왜 5개밖에 없는거죠 ,10
어벤져스: 엔드게임,난 그 여자들 집결에서 소름이 ㄷ ㄷ ,10
어벤져스: 엔드게임,"마블 시네마틱 10년 을 깔끔하게 정리하는 마무리, ",8
어벤져스: 엔드게임,여러모로 벅찬 영화였다 ,10
어벤져스: 엔드게임,줄 수 있는 평점이 10점이라 너무 아쉽다.  N번은 봐야지 하고 들어갔다가 다시는 못 볼 것 같은 영화. 내 인생의 최고의 영화. ,10
어벤져스: 엔드게임,사랑해요 어벤져스 무슨 말이 필요할까 눈물 펑펑 ,10
어벤져스: 엔드게임,너무너무 재밌다 인생입니다.. ,10
자전차왕 엄복동,관람객 7.78점 알바 아니냐? ,1
어벤져스: 엔드게임,진짜 재밌어요. 지루한 구간도 느낄수 있는데마지막에 한번에 감동의 쓰나미가 있어요 ,10
유혹의 계절,킬리언 존 섹 미모최고! 미남최고! ,10
어벤져스: 엔드게임,내 10대 20대를 함께 해준 마블ㅠㅠㅠ정말 고맙습니다 히어로 영화보고 이렇게 많이 울 줄이야....정말 너무 소름돋고 슬펐어요 ,10
어벤져스: 엔드게임,마블 히어로들 고마워 그리고 안녕 그리고 다시 안녕 ,10
어벤져스: 엔드게임,마블의 처음과 끝 그리고 모든것을 볼수있는 화룡점정이다중후반부터는 소름돋고 입이 다물어지지가 않는다 ,10
어벤져스: 엔드게임,재미가....있었따. ,10
어벤져스: 엔드게임,역시 꿀잼 또 보러갈거에요 ㅎ ,10
어벤져스: 엔드게임,정말 마블 팬으로서 대박입니다 ,10
어벤져스: 엔드게임,일종의 졸업식이라고 생각했지만 완결성 많이 떨어짐. ,6
어벤져스: 엔드게임,하...진짜 이런거 안 쓰는데ㅠㅠㅠ 보는 내내 눈물났어요ㅠㅠㅠ 내릴때까지 계속 볼거임..ㅠㅠ ,10
지상의 별처럼,감동이 최고입니다 완전강추 ,10
어벤져스: 엔드게임,최고였습디다 ㅜㅜ 감동이네요 ,10
어벤져스: 엔드게임,내생애 최고의영화! 오늘 문화의 날이라 5천원주고 본것이 미안하다 ㅜ.ㅜ 이건 5백은 줘야해 ,10
어벤져스: 엔드게임,아이엠 아이언맨으로 어벤져스 시리즈의 끝과 시작을 말했다. ,10
어벤져스: 엔드게임,Thor : I knew it!! ,9
어벤져스: 엔드게임,재밌습니다스포하지 맙시다 ,10
어벤져스: 엔드게임,마블에서 진짜 해냈다 이 이상 더 어떻게 완벽하게 만들 수 있을까 ,10
어벤져스: 엔드게임,잘 보고 왔습니다.. 그냥 최고ㅠㅠ ,10
