제목,리뷰,평점
어벤져스: 엔드게임,타노스형 그러길래 중국인구만 조진다고 했으면 싸울 필요 없었잖아. ,10
어벤져스: 엔드게임,미쳤다. 진짜. 개존잼이다 ,10
어벤져스: 엔드게임,진짜 역대급 마지막 싸움씬은 지금까지 본 모든영화를 씹어버릴만큼의 역대급! 또 감동 ㅠㅠ ,10
어벤져스: 엔드게임,x맨에서 로건같은영화. 빅재미보단 감동위주.. 마지막 액션씬 말고는 크게 액션 씬이 없구.. 다소 마블 팬이 아니면 루즈할수있음. ,7
어벤져스: 엔드게임,"마블팬은 이영화 보지마세요,, 보다 심정지옴 ",10
어벤져스: 엔드게임,오늘 극장달려가서 봤는데... 넘 기대가 커서그런가..뭔가 아쉽고 좀 지루한 어벤져스로 남을듯 ㅜㅜ 기대없이 보시길 ,6
어벤져스: 엔드게임,"캡틴,아이언맨,블랙위도우,토르 를 다시 볼 수 없다는게 참 슬프고 긴 여운이 남네요^^... 정말 좋은 영화였고 마지막 대전투에선 정말 멋있었음. 발 ",10
어벤져스: 엔드게임,마블은 정말 믿고 봅니다 ,10
어벤져스: 엔드게임,인생영화다. 캡틴과 아이언맨을 위한 마지막 편 ,10
어벤져스: 엔드게임,별로다. 실망임 보지마라 ,1
어벤져스: 엔드게임,나 dc빠아님... 마블의 끝이자  새로운 시작으로서는 다소 아쉬웠음... ,6
생일,진짜 이 영환 제가 평가를 하기엔 너무 미안한 영화네요 눈물 한바탕 쏟아네고 받습니다.. ,10
어벤져스: 엔드게임,역대최고다 2천만가즈아 ,10
어벤져스: 엔드게임,10여년을 달려온 최고의 영화들의 마무리 ,10
어벤져스: 엔드게임,진짜 역시 어벤져스다 ㅠㅠ ,10
어벤져스: 엔드게임,졸잼!!많은 걸 풀어내었지만 너무 좋았다 ,10
캡틴 마블,SF영화팬으로서 화려한 CG와 효과음이 시원하고 볼만 했습니다. 우리나라 영화는 아직 이러한 스케일의 스토리와 CG효과 등을 낼 수 없죠. 이래서 마블마블 하는거지. 마블의 화려함을 보고 싶다면 망설이지 말고 보세요. ,10
어벤져스: 엔드게임,오늘 아이언맨4 개봉했다고 해서 보고 왔어요ㅎㅎ ,8
어벤져스: 엔드게임,눈물 ㅠㅠ뿜엇다ㅠㅠㅠ최고다 아이언맨 고마워요 ,10
어벤져스: 엔드게임,지킴을 위한 희생 그리고 끝...또 다른 시작을 기다린다...최고 였습니다!!! ,10
어벤져스: 엔드게임,캡틴아메리카 2 윈터솔져를 꼭 복습하고 가세요!!!왜 그런지는 이 영화보시면 아실거예요 ,10
어벤져스: 엔드게임,그냥최고 마지막 모든히어로 다나올때소름 그리고 토니...ㅠㅠ ,10
어벤져스: 엔드게임,지린다 평점 처음남기는데 와... ,10
어벤져스: 엔드게임,캡틴이 행복하게 늙었느면 됐어ㅜ ,10
어벤져스: 엔드게임,괜히 중간에 울컥할때 참지마세요 어차피 마지막에 오열합니다 ,10
생일,일베 어버이연합 워마드 박사모 자한당 빼고는 10점이네.... 변호사때도 그러드만 솔직히 존나 재밌었는데 좌파들은 영화를 영화로 봣기에 국제시장도 즐겁게 봤는데 우좀 틀딱들은 항상 정치적으로 봐ㅋ미홍이 언냐가 니들에게 해준 조언 기억 안나냐 ,10
어벤져스: 엔드게임,시리즈의 종편 답게 많은 것을 담아 내려고한 노력이 보이지만 플레이 타임이 너무 길었고 루즈한 부분도 있었습니다. 토르가 너무 재미있게 연출 되었고 여성 히어로들이 모여서 싸우는 장면도 신선했습니다! ,8
어벤져스: 엔드게임,지금까지본 영화 중 탑 1 영화 ,10
어벤져스: 엔드게임,고마웠어요 나의 영웅들 ,10
캡틴 마블,최고...사랑해요ㅕ... ,10
어벤져스: 엔드게임,"캡틴 ㅜㅜ 너무,아쉽자나 ",10
어벤져스: 엔드게임,스토리 만족 합니다. 드라마 무비 같으면서 마블 스토리 다 잘 엮였내요. 감독판 나오거든 다시 한번 더 보고 싶내요. ,10
크게 될 놈,부모님의 마음을 다시한번 돌아볼수 있게하는 뜻깊은 영화였습니다 ,10
왓칭,공간 속 공포. 참시한 소재와 연출. ,10
크게 될 놈,엄마란 수식어가 필요없지 ,8
어벤져스: 엔드게임,최후의 한타 싸움은 직접 보지 않고서는 논하기 힘들 것. ,10
어벤져스: 엔드게임,잘보았어요!! 생각보다 길어요!! ,10
슈퍼히어로,큰 망작은 큰 책임을 따르라 ,1
어벤져스: 엔드게임,영화가 끝나고 극장 안 사람들이 거의 동시에 감탄섞인 한숨을 내뱉었네요ㅜㅜ 3시간이 마치 3분 같았습니다 엔딩크레딧을 보고 나니 정말 가슴이 먹먹하고 행복해지네요 아직 안보신 분들 언능보러가세요~ 두번 보세요! 저도 또 보러갑니당ㅜㅠ!!!!ㅎㅎㅎ ,10
어벤져스: 엔드게임,캡틴마블만 없앴으면 완벽했을 영화. ,10
어벤져스: 엔드게임,영화 끝난 지 30분이나 지났지만 생각만 해도 아직 몸에 소름이 돋습니다 진짜 명작 꼭 보세요!!! ,10
어벤져스: 엔드게임,3시간이 삭제된거보니 난 양자영역에 있었나보다 ,10
어벤져스: 엔드게임,재미있음 두번세번볼거야 ,10
어벤져스: 엔드게임,그냥 모든 영화 중 최고다. ,10
어벤져스: 엔드게임,개봉하는 이날을 기다려 드뎌 봤습니다!! ,10
어벤져스: 엔드게임,어벤져스는 대단하다ㅎㅎ ,10
어벤져스: 엔드게임,그냥봐라~  지린다~   ~★★ ,10
어벤져스: 엔드게임,역시 인생은 한타다. 그동안 고생많았습니다...10년동안  고마웠어요 ,10
어벤져스: 엔드게임,Avengers Assemble ,10
어벤져스: 엔드게임,살짝 눈물이 찔끔... ,10
어벤져스: 엔드게임,재미있었음. 근데 3시간너무 길었고. 캡틴마블 숏컷멋있었어요 ,8
어벤져스: 엔드게임,대단원의 마지막 그로 시작해 그들로끝났다   어셈블 ,10
어벤져스: 엔드게임,이건 그냥 뭐 더 할말이없다 ,10
어벤져스: 엔드게임,물도 마시면 안됩니다.한순간도 놓치면 안됨.그리고 여러번 봐야될영화!단 이전의 21편 영화를 모두보고 관람하길 추천 합니다.이건 아이맥스나 4D관람도 해야할듯 ,10
어벤져스: 엔드게임,물도 마시면 안됩니다.한순간도 놓치면 안됨.그리고 여러번 봐야될영화!단 이전의 21편 영화를 모두보고 관람하길 추천 합니다.이건 아이맥스나 4D관람도 해야할듯 ,10
어벤져스: 엔드게임,놀랍고놀랍네 진짜 놀랍다ㅠㅠ ,10
어벤져스: 엔드게임,미친 영화다... 전율이.. ,10
캡틴 마블,진짜 제일제일 재밋어요 ,10
어벤져스: 엔드게임,3000천 러뷰러뷰러뷰 ,10
어벤져스: 엔드게임,그냥 진짜 미쳤다 또 봐야지.. ,10
어벤져스: 엔드게임,완전짱완전짱완전짱완전짱 ,10
어벤져스: 엔드게임,시간 가는게 느껴지네요 ,6
어벤져스: 엔드게임,마지막 부분은 진짜 마블 역사상 최고의 장면이라  해도 과언이 아니다 ㄹㅇ ㅜㅜ ,10
어벤져스: 엔드게임,안녕!! 안녕!! 그 동안 고마웠어요!! ,10
어벤져스: 엔드게임,헤어짐을 준비하기에는 준비가 안되있다ㅠㅠ ,10
어벤져스: 엔드게임,오늘 밤에 영화볼라고 설레는 맘안고 폰 보는데 갑자기 스포 당함. 진심 스포하는 놈들 인성뭔데? ,10
어벤져스: 엔드게임,시비르 신스킨 나왔나보네 ,10
어벤져스: 엔드게임,재밌어요오오 적절한 엔딩 ,10
미성년,"어벤져스4를 보기 전이지만, 현재까지는 올해 본 영화 중 최고였습니다. 어벤져스만 아니면 흥행성적이 꽤 괜찮을 듯한데... 강한 자극 없이 끝까지 관객의 집중을 유지시키는 것이 얼마나 어려운지는 잘 아시리라 생각합니다. 신인 감독 김윤석 대박. ",10
어벤져스: 엔드게임,한타씬에서 울컥했다 어벤져스 어셈블 ,10
어벤져스: 엔드게임,적합했던 결과 !!! 마블 우리를 배신하지 않았네요 ㅠ ,10
어벤져스: 엔드게임,솔직히 인워가 훨씬 짜임새있고 재밌었음굳이 러닝타임을 이렇게 길게할 필요가 있었나 싶음 ,7
어벤져스: 엔드게임,어쨌든 잘 마무리했다. ,8
어벤져스: 엔드게임,재애애애미이이이따아아아 ,10
어벤져스: 엔드게임,잘싸우다가 갑자기 걸스캔두애니띵 페미져스 집합하는 장면 보고 몰입 확 깸 ,9
어벤져스: 엔드게임,결말이 조금 예상대로 가서 지루했음 ,8
생일,내가 직접 겪어보지 않은일에 대해 함부로 얘기하는게 얼마나 어리석은일인지...이 영화를 보며 깨닫게되네요. 감히 그 아픔에 대해 논할 자격은 그 일은 겪은 사람만이 할 수 있다는거. 유족분들 편히 우셔도 됩니다. 그러셔도 되요ㅠ ,10
어벤져스: 엔드게임,반지의 제왕이후로 마지막 전투신에서 소름돋긴 처음 ,10
어벤져스: 엔드게임,생각보다 별로임..인피니티 타노스가 멋졌음 ,8
요로나의 저주,차밖에서 요로나가 들어올려고할때가 그나마.... ,6
어벤져스: 엔드게임,대박입니다! 꼭 보세요~ ,10
어벤져스: 엔드게임,그저 갓이라는 말 밖에는 ,10
어벤져스: 엔드게임,또 보고싶다....ㅎㅎ 또 ,10
어벤져스: 엔드게임,아쉽다 이제 끝나서 ㅜㅜ ,10
어벤져스: 엔드게임,캡틴마블 초반에 다 이길것처럼 말하더만 개털리네 까오만부리고 ,10
어벤져스: 엔드게임,여자친구랑 헤어진  그  느낌... ,10
어벤져스: 엔드게임,내 나이 36살에 액션신에서 찔찔짜게 될줄몰랐다. ,10
어벤져스: 엔드게임,엉엉엉엉 넘잼 ㅜㅜㅜㅜ ,10
어벤져스: 엔드게임,히어로들도 나이가 나처럼 들었구나 싶어 더 슬펐다 ,10
어벤져스: 엔드게임,아이언맨최고다우ㅘ우와 ,10
어벤져스: 엔드게임,극장 2차관람 예정인 영화는 처음이네요. ,10
어벤져스: 엔드게임,이렇게 재밌어도되나 ㄷㄷ ,10
어벤져스: 엔드게임,ㅅㅂ...히어로 물 영화보면서  눈물이 나오더라 ,10
어벤져스: 엔드게임,"10대엔 반지의제왕과 해리포터, 20대엔 마블 어벤져스와 함께했습니다. ",10
어벤져스: 엔드게임,"11년의 대미를 장식하기에는 역부족. 초중반 이야기를 그렇게 길게 할 필요가. 이건 팬픽이 아니고, 스핀오프도 아닌데. 원년멤머에게 포커스를 맞춘건 좋지만 그럴거면 골고루 서사를 줘야지. 블랙 위도우만 배경으로 전락시키고 심지어... ",5
어벤져스: 엔드게임,진짜 눈물납니다.. 또볼게요 ,10
어벤져스: 엔드게임,알죠~?이 영화는 당연히 봐야하느거예요~^^ ,10
어벤져스: 엔드게임,초반에 지루할 수 있습니다 늘어지는 느낌도 들구요 그러나 결말을 보니 불필요한 장면들은 없었습니다 액션은 전작에 비하면 많이 없는편 엔드게임은 1세대 어벤져스들의 10년을 마무리 하는영화라 보시면 되겠어요 ,10
어벤져스: 엔드게임,"다른말은필요없습니다. 감히 인생최고영화라는 타이틀붙일수있는 영화가 타이타닉, 글래디에이터 두편이었는데, 어벤져스 엔드게임도 추가입니다.지난10년의 모든것이 담겨있습니다. MCU,,마블시대에살아감에 진심으로 감사합니다.ㅜㅜㅎ ",10
어벤져스: 엔드게임,마블 사랑해요..쵝오입니다.. ,10
캡틴 마블,여러가지 이유로 3~4번 넘게 봤는데 재밌고 구스는 귀엽다 ,10
어벤져스: 엔드게임,최고의 영화ㅠㅠㅠ퓨ㅠ ,10
어벤져스: 엔드게임,분명 재미는 있었지만 인피니티 사가의 최종장으론 좀 아쉬웠다 ,4
어벤져스: 엔드게임,드디어 엔드게임!몇년을 기다린건지 후회없음 ,10
어벤져스: 엔드게임,3시간이 1시간 30분이 되는 마술.... ,10
어벤져스: 엔드게임,너무 길다 길어도 너무 길다 ,4
어벤져스: 엔드게임,굿바이 어벤져스!!!! ,10
헬보이,그냥 킬링타임용이예요 ,8
어벤져스: 엔드게임,엔드게임 다운 러닝타임더이상 어벤저스를 볼 수 없을까봐 안타깝다 ,10
어벤져스: 엔드게임,헤일... 하이드라... ,10
돈,아직 힘도 안줬는데 설사처럼 푸드득 쏟아진다 ,5
어벤져스: 엔드게임,아이 엠 아이언맨. 아즈가르디언 오브 갤럭시 ,10
어벤져스: 엔드게임,중간중간 어색한 페미코드가 옥에 티.할려면 잘 좀 재밌게 하던가 ,8
어벤져스: 엔드게임,눈물나.... 이걸보고 울줄이야 ,10
어벤져스: 엔드게임,눈물나.... 이걸보고 울줄이야 ,10
어벤져스: 엔드게임,진짜 짧게 짧게 계속 닭똥같은 눈물 흘림 ㅠㅠ ,10
어벤져스: 엔드게임,꿀잼ㅠ 극장가서 또 봐야지 ,10
어벤져스: 엔드게임,재밋서 얘들아 빨리보장 ,10
어벤져스: 엔드게임,아이언맨~~~짱.ㅠ.ㅠ.이 말밖에 할수가 없다.보러가자는 신랑을 3시간 동안 노려보고 나오면서 한방을 날렸다. ,10
어벤져스: 엔드게임,그냥 마지막한타 지렸다닥스의 미친설계 ,10
어벤져스: 엔드게임,눈물나는걸 꾹참았습니다 3시간이 후딱지나갔고 처음부터 충격받고 멍때렸네요 ,10
어벤져스: 엔드게임,그냥 무슨 말이 필요하랴...ㅠ.ㅠ ,10
어벤져스: 엔드게임,토르가 너무 약해졌어 ㅡㅡ 진짜 ,6
어벤져스: 엔드게임,마지막편다운 엔딩이었습니당ㅎ ,10
어벤져스: 엔드게임,십점드립니다 정말 재밌음 ,10
어벤져스: 엔드게임,눈물 줄줄 흘리면서 봄... 진짜 감동적임 ㅠㅠ ,10
어벤져스: 엔드게임,정말 눈물 주르르륵 ㅠㅠ 최고입니다요 ,10
어벤져스: 엔드게임,11년의 긴여정....완벽한 마무리... ,10
어벤져스: 엔드게임,다 필요없고 히드라 만세 ,10
어벤져스: 엔드게임,개봉하자마자 보길 잘했어요 재밌었음 ,10
어벤져스: 엔드게임,어벤져스 완벽한 엔딩. ,10
어벤져스: 엔드게임,재미있어요!! 콜라금지. ,10
어벤져스: 엔드게임,3000점 드리겠습니다. ,10
어벤져스: 엔드게임,날짜를 잘못 예매해서 못봤네요 주말에 다시 예매했습니다 ,2
어벤져스: 엔드게임,OO을 기다려온 마블 역시 마블짱이다 ,10
어벤져스: 엔드게임,꿀잼 허니잼 3D강추함 ,10
어벤져스: 엔드게임,나는 나는 나는 아이언맨이다 ,10
어벤져스: 엔드게임,눈물이 났습니다..ㅠㅠ꼭 보세요아 또 눈물이.. ,10
어벤져스: 엔드게임,만점! 만점이오. 마블영화의 정점 ,10
어벤져스: 엔드게임,와 이걸어째 아이언맨이여 안녕이구나... ,10
노무현과 바보들,데드풀을 뛰어넘는 금세기 최강 액션 코믹 블록버스터 ,9
어벤져스: 엔드게임,아직 못 보신 분들을 배려합시다.보기전이신 분들은 음료는 안드시는 걸 추천합니다.3시간 생각보다 길어요;; 배려합시다. ,10
어벤져스: 엔드게임,"세시간동안 최고였어요 이게 끝이라는게 너무나 아쉽,,,, ",10
어벤져스: 엔드게임,존잼....배우들의 안녕...아쉽네요 ,10
생일,보는내내 지루하고 중간에나가고싶었던영화평점이좋아서 봤는데...시간이 너무아깝다는 생각이들었어요 ,1
어벤져스: 엔드게임,일찍 보길 잘했어요 ㅎㅎㅎ내가 아이언맨이다~ ,10
어벤져스: 엔드게임,재밌습니다. 두번 보세요 ,10
어벤져스: 엔드게임,보면서 지루한틈 없다는건 진짜 개소리고ㅋㅋ 마블 팬이면 모를까 일반인에게는 초중반 상당히 지루합니다 마지막 한타씬보고 그래도 3.5점 줌 ,7
어벤져스: 엔드게임,치즈버거 먹으러갑니다 ,10
어벤져스: 엔드게임,스포좀 하지마 이 잡것들아 ,10
어벤져스: 엔드게임,최고의 영화였습니다! 좋은 마무리였어요 ,10
어벤져스: 엔드게임,아쉬웠다. 인워보다 짜임새가 많이 부족함. 몇몇 등장인물의 흐름만 좋았고 전체적인 흐름은 중간 중간이 튀는 느낌. 그리고 그걸 왜 팔콘에게 주는지 도저히 이해가 안간다. 팔콘이 뭔데!! 너무 급이 다르잖아 ,5
어벤져스: 엔드게임,너무너무너무 흥미롭고 재미있어용 >_< ,10
어벤져스: 엔드게임,그냥 이건 미쳤다 이말외엔 어떤말로도 설명이 안됨 진짜 너무 멋있어서 눈물나옴 ,10
창궐,조선 시대에 시나리오라는 단어가 있었나? ,1
어벤져스: 엔드게임,고마웠어 어벤져스!! ,10
어벤져스: 엔드게임,블랙위도우랑 아이언맨 죽음토르는 가디언즈오브갤럭시 멤버되고캡틴아메리카는 은퇴함 재밌음 ,10
범블비,범블비~기대했던것만큼은 아님 ,4
어벤져스: 엔드게임,히어로무비가 아니라 인류 대서사같아서 울었다 ㅠ 중간중간 마블덕후만 이해할 수 있는 유머코드도 좋았고 페미니즘적 메시지도 좋았음 ,10
어벤져스: 엔드게임,정말 완벽한 엔딩... ,10
어벤져스: 엔드게임,정말 지리고 지린다보면 다 지릴거야... ,10
어벤져스: 엔드게임,마블은 역시 아이언맨!! ,10
어벤져스: 엔드게임,재밌었지만 캡틴이 망치를 쓰는건 매우 어이없었다... ,10
어벤져스: 엔드게임,조금 졸림. 졸리지만 시간가는줄 모름.그래도 재밌다 ㅋㅋ ,10
어벤져스: 엔드게임,내가 봤던 모든 히어로 영화 통틀어 가장 슬프고 가장 웃겼던 영화 ,10
어벤져스: 엔드게임,우리 영화 개봉하고 그 다음주에 걸캅스가 개봉해 그래서 그때부터 걸캅스랑 1대1로 붙어 본의 아니게 미국대표 영화가 된 셈인데 그래서 더더욱 잘 됐으면 좋겠다는 생각이들어 걸캅스가 엄청 재미없다고 그러더라고 ,10
어벤져스: 엔드게임,마블에 팬이시면 그냥 보세요. 보는내내 정말 지루할틈없고 감동이네요...정말 최고입니다 ,10
어벤져스: 엔드게임,원래 마블영화 끝나면 기대감으로 가득찼는데 이번 영화는 뭔가 아쉬움이 더 큼ㅠㅠ ,10
어벤져스: 엔드게임,이대로 끝나면 안되지 싶다 여운이.... ,10
어벤져스: 엔드게임,너무 큰 기대릉 했나.. 생각보다 ㅜㅠ ,8
어벤져스: 엔드게임,아이언맨으로 시작된 마블 어번져스 . 아이언맨으로 마치다.행복했다 로다쥬~ ,9
어벤져스: 엔드게임,굿바이 어벤져스 고마웠어요ㅠㅠ ,10
어벤져스: 엔드게임,솔직히 별로다. 시간이동 컨셉은 워낙 흔히 나왔기 때문에 식상할 수 밖에 없었고.. 전편의 화려한 연출에 비하면 부족한 부분도 있고 영화시간이 3시간씩이나 될 필요가 있는지 의문 ,5
어벤져스: 엔드게임,정말 재밌게 봤습니다. ,8
어벤져스: 엔드게임,아이언맨이 짱이다 최소10자 ,10
어벤져스: 엔드게임,좋을 것이라고 기대기대기대기대 ,10
어벤져스: 엔드게임,살짝 아쉽지만 이정도면 굿 ,8
어벤져스: 엔드게임,꺄아아아사랑해요 엉엉한 번 보고 두번 보고 자꾸만 보고 싶네 ㅠㅠ 엉엉또 보러가야겠어요 ㅠㅠ알러뷰 ㅠㅠ ,10
어벤져스: 엔드게임,최고다 최고라는 말밖에는 ,10
어벤져스: 엔드게임,주의할점: 마블 영화 한두편 건너뛴 사람들은 중간에 렉이 걸릴수 있음. ,10
생일,세월호를 다시 한번 새겨둘수 있었습니다. ,10
어벤져스: 엔드게임,존나 잼있다~~!!~!!! ,10
어벤져스: 엔드게임,엑스맨에는 로건이어벤져스에는 토니가 있었네. 닥터가 스포하면 잣된다 했으니. 스포 좀 그만.... ,10
어벤져스: 엔드게임,기대한만큼의 재미와 긴 여운이 남는 영화 ,10
어벤져스: 엔드게임,최고의 영화 조아요조아요 ,10
어벤져스: 엔드게임,3000만큼 재밌습니다 ,8
어벤져스: 엔드게임,3시간증발~ 감성적인 분들이라면 휴지는 필수! ,10
어벤져스: 엔드게임,캡틴 아메리카 과거로 돌아가고 아이언맨 죽습니다 ,8
어벤져스: 엔드게임,3000만큼 사랑함 ㅋㅋ ,10
어벤져스: 엔드게임,졸잼.. 한번더보고싶당 ,10
어벤져스: 엔드게임,멋진 마무리..여운도남고 훌륭하다. ,10
어벤져스: 엔드게임,MCU 팬을 위한 최고의 선물 ,10
어벤져스: 엔드게임,마블아 3000만큼 고맙고 블랙위도우 3000만큼 좋아했고 어벤져스 3000만큼 사랑해 ㅜㅠ ,10
어벤져스: 엔드게임,웃기고 감동적이고 재밌습니다! ,10
직쏘,아씨 잔인해 토할것같다 ,6
어벤져스: 엔드게임,항상 토니 스타크와 아이언맨 사이에 놓여있던 히어로의 마지막과 언제나 캡틴 아메리카였던 히어로의 마지막이 대조 되네요. ,10
어벤져스: 엔드게임,나도 모르게 눈물이 주르륵 흘렀다 ,10
어벤져스: 엔드게임,에휴... 솔직히 그닥.. 별론걸 별로라고 하는데 왜 갬성팔이들을 하시나.. 진실은 뽕빠지면 알게되겠지.. 마무리론 그럭저럭 7점..도대체 인워 찍고 그동안 뭔일이 있었던거냐.. 어케 1년사이에 퇴행을 함.. ,1
어벤져스: 엔드게임,오짐 쩔어 ㅇ와 내일 시험 망함 ,10
어벤져스: 엔드게임,존잼입니다진심꼭보세요 ,10
어벤져스: 엔드게임,그냥 최고에여 3번보고말거야 ,10
"다시, 봄",다시 나 자신을 돌아보는 영화마음 따뜻해지는 영화 ,10
어벤져스: 엔드게임,그냥너무사랑해마블ㅠㅠㅠ후반에계속우러따진짜..내인생여운최고영화ㅠㅠㅠ사랑해사랑해 ,10
어벤져스: 엔드게임,3000만 기대한다 살면서 본 영화중 완벽한 유종의 미를 거둔 완벽한 마무리 ,10
어벤져스: 엔드게임,재미있음더이상쓰면 스포니까 요기까지 ,10
어벤져스: 엔드게임,딱하나만 이야기 하면요.유투버들 예측 한개도 안맞아요.예상하지 마세요 그 이상을 보시게 되실겁니다. ,10
어벤져스: 엔드게임,나의 20대와 같이 봤습니다 ,10
어벤져스: 엔드게임,어벤져스 총 집결 전쟁장면에서 몇번씩 소름돋음.. ,10
어벤져스: 엔드게임,마블팬들은 휴지 꼭 챙겨가세여왠만하면 영화보고 안 우는데 죤나 쳐울었네여. ,10
어벤져스: 엔드게임,아이언맨 사랑해요 ㅠㅠ ,10
극한직업,이것이 9점인가 10점인가 ,10
어벤져스: 엔드게임,아이언맨죽고 블랙위도우죽고 캡아 늙어짐 ,10
어벤져스: 엔드게임,약간 초반에 지루한 느낌.3D안경까지 끼고볼정도의 액션씬 없음.걍 스크린 큰 영화관에서 봐도 괜찮음. ,8
어벤져스: 엔드게임,이제 맘 편히 죽어도 되겠군. ,10
어벤져스: 엔드게임,내생에 마블을 만난건행운이다 ,10
어벤져스: 엔드게임,이런글 처음이지만 짱 재밌어요. ,10
어벤져스: 엔드게임,진짜 최고...ㅠㅠ 끝난다는게 먹먹하고 기분이 이상하고.. 내 20대를 같이 해줘서 정말 고맙다ㅠㅠ ,10
어스,너무너무너머 잼난다ㅠㅠㅠ ,10
어벤져스: 엔드게임,"지림. 초반에 약간 루즈한 경향이 없지 않아 있으나 그걸 인식하는 순간 영화에 몰입돼 빠져나감. ㅋㅋ초반에 타노스 어딨는지 찾아내서 그 행성 가서 타노스 토르가 대가리 도끼로 자름. 나타샤 죽음, 타노스 out, 굿바이 아이언맨.새로운 세대교체 암시 ",9
어벤져스: 엔드게임,소문난 잔치에 먹을거 없다 ,6
어벤져스: 엔드게임,헤일하이드라! 헤일하이드라! ,10
어벤져스: 엔드게임,마지막 전투씬에서 소름이 돋다못해 울뻔..이런 영화를 볼수있어 너무 감사합니다. ,10
내안의 그놈,솔직히 겁나 유쾌하고 좋았음 ,9
어벤져스: 엔드게임,액션신이 많지 않았지만 최고에요! ,10
어벤져스: 엔드게임,긴 여정의 끝 치고는 아쉬움이 많이 남은듯. ,4
월요일이 사라졌다,"개연성이 사라졌다. 남자주인공과의 로맨스 납득 안되고요, 그래서 계약한것도 납득 안되고요.. 궂이 자매 다 죽여야되는지도 모르겠고.. 억지 전개 같습니다.. ",4
어벤져스: 엔드게임,보면서 공허의 유산 트레일러 생각남 ㅋㅋㅋ영화는 개꿀잼 ,8
어벤져스: 엔드게임,"그냥 말이 필요없다, 최고의 작품 11년 동안 마블영화 보면서 운적이 단 한번도 없는데 오늘은 울었다. 나는 아이언맨이다. 잊지 않을게요. ",10
어벤져스: 엔드게임,인피니티사가의 마지막을 장식한 끝내주는영화 ,10
어벤져스: 엔드게임,후기를 물어본다면 그 얘긴 더이상 말 안할래 ,10
어벤져스: 엔드게임,I'm iron man ,10
어벤져스: 엔드게임,엄청난 스케일의 개꿀잼 영화 ,10
어벤져스: 엔드게임,살앙해오 어벤져스 여럽운 ,10
어벤져스: 엔드게임,살앙해오 어벤져스 여럽운 ,10
어벤져스: 엔드게임,아이언맨 잘가 ㅠㅠ 눈물이났어 ,10
어벤져스: 엔드게임,어벤쟈스가 타노스의 행보를 따르는 과정에서 그들의 슬픔과 고통. 감정선을 너무 잘그려놔서 타노스가 안타까울 지경이었어요. 타노스는 그런 큰 아픔을 홀로 견뎌내며 끝끝내 업을 이루려던 이유가 무엇이었을까요... 와 진짜 소울스톤 때 관객 다 오열함 ,10
어벤져스: 엔드게임,재미있어요. 몰입도 있게 봤습니다 ,10
어벤져스: 엔드게임,마지막인데 쫌더 돈좀 쓰질그랬냐...지루해서 초중반에 졸았잖아!! ,5
어벤져스: 엔드게임,최고의 영화였다. 하지만 8점을 준 이유는 은근히 에듀케이티드한 부분이 거슬렸다. 그외에는 10점만점에 11점을 줄 정도였다. ,8
어벤져스: 엔드게임,3시간이 안지겨웠슴다 ,10
극한직업,그냥 생각없이 유머에만 집중해서 볼 수 있었던 킬링타임용 영화 ,8
어벤져스: 엔드게임,깔끔하게정리끝 졸잼임 ,10
어벤져스: 엔드게임,인생작...입니다  정말로 ,10
어벤져스: 엔드게임,완벽한 마무리! 내 젊은 나날을 함께 해줘서 고마워요! ,10
어벤져스: 엔드게임,역시 어벤져스 나의 기대를 저버리지 않구나 ,10
어벤져스: 엔드게임,"8점 이상을 주고 싶었으나 캡틴마블 나올때 갑분싸되서 -2점. 전투씬 중간에 여성 히어로들만 뭉쳐서 보여줬을때 든 생각이, '굳이 저걸 보여줘야하나?' ... 다 된 어벤져스에 캡틴마블 뿌리기.... 마블은 이제 내리막을 걸을듯 ",6
우상,솔직히 연기력있는 배우들 데리고 졸작을 만든건 감독 자질이 없음. 겉멋만 처들어서 매우 영화가 아닌 그냥 쓰레기 편집된 영상임. 단언컨대 하나를 보면 열을 안다고 자질없음. 그냥 다른거 하길 바란다. 배우들 데리고 장난치는거 아니다 알겠냐!! ,1
어벤져스: 엔드게임,10년 영화시리즈의 멋진 결산 ,10
어벤져스: 엔드게임,진짜  소름돋습니다!!! ,10
어벤져스: 엔드게임,"장면마다 찌릿찌릿한 소름, 적절한 유우머와 액션, 시선강탈 오졌따리~ ",10
어벤져스: 엔드게임,너무너무너무너무 재밌다 ,10
어벤져스: 엔드게임,이유가있나 그냥 모든게 다좋았다. 액션신 좀더길었으면 더좋았을듯. 마지막이라는 아쉬움에 슬픔 ,10
러브 & 드럭스,진짜 좋은 영화다 배우들도 훌륭하고 멋있었고 스토리도 좋았고 모든게 좋았다 꼭 보는걸 추천한다 ,10
어벤져스: 엔드게임,10년 대장정 시리즈의 정수를 본 기분입니다. 굿바이 어벤저스 ,10
어벤져스: 엔드게임,보고시프다토욜날 남친델꼬봐야징 ,10
어벤져스: 엔드게임,최고의 희어로영화인거 같습니다. ,10
어벤져스: 엔드게임,최고다. 다른 말은 필요없다. ,10
어벤져스: 엔드게임,너무 축축 쳐졌던거같아요 ,6
어벤져스: 엔드게임,이거 평점 10점 안주면 마알못 ㅂ ,10
가버나움,올해 꼭 봐야하는 영화 입니다 ,10
어벤져스: 엔드게임,후반부에서는 소름이 돋고 전율이 흐름 ,10
